??,??,????(?),????(?),????(?)
1/1/2020,108,-2.2,-6.5,0.3
1/2/2020,108,1,-0.7,3.8
1/3/2020,108,-0.1,-3.4,4.6
1/4/2020,108,1.2,-2.8,6.1
1/5/2020,108,1.3,-3.2,6.6
1/6/2020,108,3.1,0.6,4.6
1/7/2020,108,6.3,4.2,7.7
1/8/2020,108,2.4,-0.4,8.9
1/9/2020,108,-1.2,-3.1,2
1/10/2020,108,-0.6,-4.3,4.2
1/11/2020,108,-0.1,-2.6,3.9
1/12/2020,108,-1,-3.5,2.8
1/13/2020,108,-2.9,-4.7,0.2
1/14/2020,108,-2.3,-5.7,2.6
1/15/2020,108,-2.7,-6.4,2.2
1/16/2020,108,-1.7,-5.5,3.2
1/17/2020,108,-0.6,-4.8,4.9
1/18/2020,108,0.3,-4.1,5.9
1/19/2020,108,1.9,-0.4,5.3
1/20/2020,108,0.7,-3.3,5.5
1/21/2020,108,-0.4,-5.6,5.5
1/22/2020,108,3,-0.1,7.8
1/23/2020,108,4.6,0,9.9
1/24/2020,108,2.8,-1.3,7.4
1/25/2020,108,4.3,0.6,8.8
1/26/2020,108,5.5,-0.2,11.9
1/27/2020,108,5.9,4.8,7.5
1/28/2020,108,6.8,4.3,9.9
1/29/2020,108,6,3.2,9.6
1/30/2020,108,5.2,1.4,10.4
1/31/2020,108,3.9,1.4,8.9
2/1/2020,108,2.6,-1.2,7.6
2/2/2020,108,1.5,-2.1,5.3
2/3/2020,108,-0.4,-2.9,3
2/4/2020,108,-1.6,-6,3.9
2/5/2020,108,-8.3,-11,-4.9
2/6/2020,108,-6.4,-11.8,0.4
2/7/2020,108,-1.7,-7.2,2.2
2/8/2020,108,-0.1,-2.3,3.7
2/9/2020,108,-0.5,-5.6,4.1
2/10/2020,108,4,-0.7,9.6
2/11/2020,108,6.8,-0.5,14.6
2/12/2020,108,7.4,6.5,8.2
2/13/2020,108,6.5,4.9,8.7
2/14/2020,108,8.1,3.2,14.7
2/15/2020,108,9.8,6.2,15.6
2/16/2020,108,-1.4,-4.3,7.7
2/17/2020,108,-5.9,-7.1,-3.9
2/18/2020,108,-4.1,-8.3,1.3
2/19/2020,108,1,-4.4,6.4
2/20/2020,108,4.6,-0.6,10.8
2/21/2020,108,6.7,2.1,10.9
2/22/2020,108,4,0,7.9
2/23/2020,108,2.5,-2.5,8
2/24/2020,108,7,0.8,12.2
2/25/2020,108,6.7,4.7,9.4
2/26/2020,108,6.4,2.8,10.4
2/27/2020,108,6.1,1.3,12.5
2/28/2020,108,4.5,3.6,5.9
2/29/2020,108,7.7,4.5,13
3/1/2020,108,5.8,3.2,10.1
3/2/2020,108,3.4,0,7.6
3/3/2020,108,4.8,0.3,10.5
3/4/2020,108,2.2,-1.3,4.6
3/5/2020,108,1.4,-2.8,6.3
3/6/2020,108,3.7,-2.5,10.1
3/7/2020,108,7,1.3,14.2
3/8/2020,108,9.3,2.3,16.9
3/9/2020,108,11.1,4.8,17.6
3/10/2020,108,6.4,3.2,10.8
3/11/2020,108,3.8,0,8.3
3/12/2020,108,6.8,0.2,13.3
3/13/2020,108,4.9,-0.1,8.7
3/14/2020,108,3.6,-2.7,8.6
3/15/2020,108,4,0.2,8.5
3/16/2020,108,3.6,-2.1,9.1
3/17/2020,108,6.6,3.1,12.3
3/18/2020,108,10,2.7,17
3/19/2020,108,9.1,5.8,12.1
3/20/2020,108,8.8,3.1,14
3/21/2020,108,12.8,7.9,19.5
3/22/2020,108,11,6.1,16.5
3/23/2020,108,10.6,5.4,17
3/24/2020,108,11.4,5.3,17.9
3/25/2020,108,12.5,6.1,19.2
3/26/2020,108,14.8,8.1,20.6
3/27/2020,108,11.9,6.7,15.8
3/28/2020,108,7.7,4.5,12.8
3/29/2020,108,8.7,1.3,16.1
3/30/2020,108,10.2,4.3,16.9
3/31/2020,108,11.9,4.7,18.6
4/1/2020,108,11.3,6,17.4
4/2/2020,108,9.3,3.4,15.5
4/3/2020,108,10,5.3,16.3
4/4/2020,108,8.9,5,13.3
4/5/2020,108,7.2,1.9,13.7
4/6/2020,108,9.3,2.9,16.1
4/7/2020,108,10.6,6,16.8
4/8/2020,108,9.4,5.2,14.2
4/9/2020,108,8.9,4.3,14.7
4/10/2020,108,10.7,5.8,16.8
4/11/2020,108,9.9,6.2,16
4/12/2020,108,9.9,4.4,15.6
4/13/2020,108,12.4,4.3,20.4
4/14/2020,108,13,7.6,19.6
4/15/2020,108,13.2,7.2,20.2
4/16/2020,108,16,8.9,23.8
4/17/2020,108,12.5,10.4,15.4
4/18/2020,108,13.5,8.5,19.6
4/19/2020,108,12.3,9.5,15.5
4/20/2020,108,10,7.6,13.1
4/21/2020,108,7.4,4.8,10.4
4/22/2020,108,6,4.1,8.3
4/23/2020,108,7.9,2.9,12.8
4/24/2020,108,9.9,4.1,14.3
4/25/2020,108,13.1,9.9,17.1
4/26/2020,108,12.3,6.8,19
4/27/2020,108,12.9,8.7,18.3
4/28/2020,108,13.9,7.8,19.9
4/29/2020,108,14.9,9.3,21
4/30/2020,108,17.1,9.3,23.4
5/1/2020,108,20.2,16.4,26.2
5/2/2020,108,20.3,18,23.9
5/3/2020,108,21.8,17,27.4
5/4/2020,108,20.2,14.8,25.3
5/5/2020,108,16,13.1,19.3
5/6/2020,108,19.4,11.1,27.6
5/7/2020,108,20.7,14.9,26.5
5/8/2020,108,19.9,14.3,27.3
5/9/2020,108,14.2,12.7,16.8
5/10/2020,108,14.4,12.8,16.6
5/11/2020,108,16.5,12.4,22
5/12/2020,108,14.3,10.5,18.9
5/13/2020,108,16.1,10.2,21.8
5/14/2020,108,19.3,12.4,25.4
5/15/2020,108,16.1,14.1,20.2
5/16/2020,108,16.7,15,20.3
5/17/2020,108,19.1,14.6,24.9
5/18/2020,108,19.1,13.2,26.8
5/19/2020,108,13,10.1,17.1
5/20/2020,108,14.4,9.2,20.1
5/21/2020,108,17.4,10.9,22.9
5/22/2020,108,18.5,14.8,22.7
5/23/2020,108,20.1,16.6,25
5/24/2020,108,17.1,14.3,20.2
5/25/2020,108,16.6,13.7,21.3
5/26/2020,108,16.2,12.7,22.9
5/27/2020,108,17.4,11.8,23.9
5/28/2020,108,18.7,14.2,23.4
5/29/2020,108,20.7,14.6,27.6
5/30/2020,108,22.6,16.5,30
5/31/2020,108,21.2,17.6,28
6/1/2020,108,19.7,16.6,24.5
6/2/2020,108,17.9,14.8,21.8
6/3/2020,108,22,17.6,28.4
6/4/2020,108,21.9,19.7,26.5
6/5/2020,108,23,18.4,28.7
6/6/2020,108,24.6,19.2,30.9
6/7/2020,108,22.7,19.2,29.2
6/8/2020,108,25,19.8,32
6/9/2020,108,26.7,20.3,32.8
6/10/2020,108,25.8,22.5,32.1
6/11/2020,108,26.1,21.7,31.6
6/12/2020,108,24.7,21.6,27.6
6/13/2020,108,26.9,20.6,33.5
6/14/2020,108,24,20.1,28.8
6/15/2020,108,23,18.2,28.6
6/16/2020,108,24.4,20,30.7
6/17/2020,108,24.3,20.2,30.3
6/18/2020,108,23.4,20.3,27.3
6/19/2020,108,24.7,21.1,30
6/20/2020,108,24.9,20.7,29.7
6/21/2020,108,26.1,19.5,32.7
6/22/2020,108,28.6,21.7,35.4
6/23/2020,108,27.3,23.2,31
6/24/2020,108,22.3,19.9,26.3
6/25/2020,108,21.6,20.1,23.4
6/26/2020,108,21.8,19.2,25.7
6/27/2020,108,24.1,20.4,29.6
6/28/2020,108,25.2,21.5,30.1
6/29/2020,108,23.8,20.6,26.5
6/30/2020,108,20.1,18.4,23.1
7/1/2020,108,21.1,18.1,24.3
7/2/2020,108,24.2,20.4,29.8
7/3/2020,108,25.5,21.6,30.6
7/4/2020,108,24.2,20.4,29.5
7/5/2020,108,23.8,19.9,27.6
7/6/2020,108,25.6,21.8,30.9
7/7/2020,108,24.1,22.1,28.1
7/8/2020,108,25.5,21.3,30.4
7/9/2020,108,27.5,21.8,32.9
7/10/2020,108,24.5,22.7,27.7
7/11/2020,108,25.8,22.2,30.2
7/12/2020,108,23.5,21.7,26
7/13/2020,108,18.7,17.7,21.7
7/14/2020,108,20.3,17.2,24.3
7/15/2020,108,23.4,18.9,28.7
7/16/2020,108,25,20.4,29.7
7/17/2020,108,26,21.5,31.6
7/18/2020,108,26.1,22.8,31
7/19/2020,108,24,20.6,26.6
7/20/2020,108,23.8,22.4,26.6
7/21/2020,108,25,21.4,30.5
7/22/2020,108,23.7,22.6,25.7
7/23/2020,108,21.1,18.5,22.6
7/24/2020,108,22.5,18.7,26.8
7/25/2020,108,24.3,22.3,29
7/26/2020,108,25.4,21.6,29.6
7/27/2020,108,24.3,22.9,25.5
7/28/2020,108,24.4,22.7,26.4
7/29/2020,108,23.7,22.6,24.9
7/30/2020,108,25.3,23.4,28.4
7/31/2020,108,26.2,22.8,29.6
8/1/2020,108,25.3,24.3,26.9
8/2/2020,108,24.9,23.5,26.4
8/3/2020,108,25,23.9,26.3
8/4/2020,108,27,25,29.4
8/5/2020,108,26.5,25.5,29.1
8/6/2020,108,24.1,22.9,26
8/7/2020,108,24.3,22.6,26.1
8/8/2020,108,24.2,22.7,26.1
8/9/2020,108,24.9,23.7,25.8
8/10/2020,108,26.5,24.7,29.5
8/11/2020,108,24.6,22.4,27.3
8/12/2020,108,27.2,23.5,31.3
8/13/2020,108,28,26.3,30.3
8/14/2020,108,27.1,26.5,28
8/15/2020,108,26.1,25,27
8/16/2020,108,27.4,25.3,30.8
8/17/2020,108,28.2,26.1,32.2
8/18/2020,108,27.5,24,31.9
8/19/2020,108,27.1,23.6,31.4
8/20/2020,108,27.7,25,31.7
8/21/2020,108,26.6,25.2,29.2
8/22/2020,108,24.3,21.7,27.6
8/23/2020,108,25.3,21.5,29.9
8/24/2020,108,27.8,23.7,32
8/25/2020,108,29.9,26,34.5
8/26/2020,108,30.2,27,34.5
8/27/2020,108,27.1,25.6,28.6
8/28/2020,108,27.3,26,29.7
8/29/2020,108,26.8,25.5,29
8/30/2020,108,26.8,24.4,30.6
8/31/2020,108,26.4,23.8,30
9/1/2020,108,26.6,23.8,29.5
9/2/2020,108,24.3,22.6,26.4
9/3/2020,108,22.7,20,25.6
9/4/2020,108,23.3,19.9,27.5
9/5/2020,108,23.3,19.2,27.3
9/6/2020,108,21.7,19.5,24.4
9/7/2020,108,19.2,17.5,20.6
9/8/2020,108,23.4,20.6,26.5
9/9/2020,108,21.1,19,25.3
9/10/2020,108,22.8,18.8,27
9/11/2020,108,22.4,19.2,27.1
9/12/2020,108,20.2,18.1,23.2
9/13/2020,108,21.5,16.7,26.6
9/14/2020,108,21.3,17.6,24.9
9/15/2020,108,23,18.9,27.7
9/16/2020,108,22.5,21.3,24.9
9/17/2020,108,21.3,20.1,23.6
9/18/2020,108,21.5,18.1,25.8
9/19/2020,108,21.2,17.6,26.2
9/20/2020,108,19.7,15.6,24.9
9/21/2020,108,19.1,13.6,25.3
9/22/2020,108,20.2,15.5,25.6
9/23/2020,108,19.2,15.2,23.8
9/24/2020,108,20.6,16.8,25.4
9/25/2020,108,20.1,16.6,25.4
9/26/2020,108,19.3,14.8,24.8
9/27/2020,108,20.4,14.9,25.8
9/28/2020,108,20.7,15.7,26.5
9/29/2020,108,19.6,15.3,23.9
9/30/2020,108,19.6,16.2,25.7
10/1/2020,108,18.8,15.6,23.6
10/2/2020,108,19.2,16.3,21.9
10/3/2020,108,19.9,18.3,23.2
10/4/2020,108,16.6,10.6,21.8
10/5/2020,108,13.3,8.5,18.4
10/6/2020,108,14.2,9.3,19.7
10/7/2020,108,16,9.9,22
10/8/2020,108,17.2,12.1,23.1
10/9/2020,108,17.2,12.4,23.3
10/10/2020,108,16.9,12.3,21.5
10/11/2020,108,16.9,12.7,20.8
10/12/2020,108,16.2,12.1,21.3
10/13/2020,108,13.6,8.6,18.4
10/14/2020,108,12.8,8.5,18
10/15/2020,108,11.7,6.5,18.5
10/16/2020,108,11.8,8.6,15.4
10/17/2020,108,13.1,8.7,18.6
10/18/2020,108,13.6,7.2,20.2
10/19/2020,108,15.1,9.8,21.3
10/20/2020,108,15.2,9.9,21.7
10/21/2020,108,14.1,11.8,17.3
10/22/2020,108,13.5,8.4,18.2
10/23/2020,108,8.6,5.4,13.3
10/24/2020,108,8.7,3.2,14
10/25/2020,108,11.8,5.4,18.2
10/26/2020,108,12.9,8,19
10/27/2020,108,14,9,19.4
10/28/2020,108,13.8,8.6,18.2
10/29/2020,108,10.8,5.5,16.1
10/30/2020,108,11.9,5.8,19.6
10/31/2020,108,13.6,8.5,18.2
11/1/2020,108,13.7,11.6,15
11/2/2020,108,10.8,7.9,15.6
11/3/2020,108,5.1,2.7,8.6
11/4/2020,108,4.9,0.2,10.8
11/5/2020,108,9.6,3.4,15.9
11/6/2020,108,13.5,9.9,17.2
11/7/2020,108,14.6,12.2,18.1
11/8/2020,108,8.5,3.1,12.4
11/9/2020,108,5.5,0.7,8.9
11/10/2020,108,7.7,3.5,12.9
11/11/2020,108,9.3,3.5,16.5
11/12/2020,108,10.4,4.6,17.7
11/13/2020,108,12.2,8.5,17.6
11/14/2020,108,12.5,6.8,19.3
11/15/2020,108,11.1,8.2,14.9
11/16/2020,108,12.4,7.5,18.3
11/17/2020,108,15.9,11.7,20
11/18/2020,108,16.6,14.8,18.7
11/19/2020,108,13.6,6.9,19.1
11/20/2020,108,2.8,0.3,7
11/21/2020,108,6.5,-0.3,12.8
11/22/2020,108,5.6,1.5,9.1
11/23/2020,108,1.7,-1.5,5.9
11/24/2020,108,2.9,0.2,6.4
11/25/2020,108,4.6,0,9.5
11/26/2020,108,5.6,1.9,10.9
11/27/2020,108,4.1,0.6,7.7
11/28/2020,108,-0.1,-2.3,2.8
11/29/2020,108,-0.6,-3.6,2.6
11/30/2020,108,-0.2,-3.6,4.3
12/1/2020,108,1.1,-3.6,6.7
12/2/2020,108,2.4,0.5,6.1
12/3/2020,108,0.7,-2.3,4.2
12/4/2020,108,-0.6,-4.6,4.4
12/5/2020,108,2.1,-2.2,6.6
12/6/2020,108,4.5,1.2,9.1
12/7/2020,108,3.4,-0.7,6.3
12/8/2020,108,-0.5,-3.5,4.1
12/9/2020,108,1.5,-4.1,6.2
12/10/2020,108,5.8,3.2,9.3
12/11/2020,108,5.3,2.6,9.4
12/12/2020,108,2.3,-0.3,6.1
12/13/2020,108,-1.1,-6,2
12/14/2020,108,-7.7,-9.7,-5
12/15/2020,108,-8.3,-11.1,-4.6
12/16/2020,108,-8.3,-11.2,-3.9
12/17/2020,108,-4.9,-11.1,0.8
12/18/2020,108,-2.1,-6.4,1.8
12/19/2020,108,-5.1,-9.6,-1.2
12/20/2020,108,-3.7,-8.2,1.1
12/21/2020,108,-1,-6,4.7
12/22/2020,108,2,-2.5,7.2
12/23/2020,108,4.5,-0.4,8.5
12/24/2020,108,2.6,-2,6.1
12/25/2020,108,-0.8,-4.7,3.5
12/26/2020,108,2.2,-2.1,8
12/27/2020,108,5.8,1.4,10
12/28/2020,108,6.7,4.2,11.4
12/29/2020,108,0.1,-6.2,4.3
12/30/2020,108,-10.9,-12.9,-6.2
12/31/2020,108,-8.9,-12.9,-5
